GeneName,GeneID,A549_Bacteria_Spn,A549_Virus_IAV,A549_Virus_RSV,A549_Virus_SARSCoV2,B_cell_Protozoa_Pf,B_cell_Virus_EBV,B_cell_Virus_HBV,Dendritic_Bacteria_Bpe,Dendritic_Bacteria_MTB,Dendritic_Bacteria_Sau,Dendritic_Protozoa_Pf,Dendritic_Virus_HBV,Liver_Virus_HBV,Macrophages_Bacteria_Lmo,Macrophages_Bacteria_MTB,Macrophages_Bacteria_NTHi,Macrophages_Bacteria_SalEn,Macrophages_Bacteria_SalTy,Macrophages_Fungi_Af,Macrophages_Virus_IAV,Macrophages_Virus_SARSCoV2,Monocyte_Bacteria_Lmo,Monocyte_Virus_RSV,PBMCs_Fungi_Af,PBMCs_Protozoa_Pf,T_cell_Virus_HBV,T_cell_Virus_HIV1,hSAEC_Virus_RSV,Huh.7_Virus_HCV
TSPAN6,ENSG00000000003.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,Down,Down
TNMD,ENSG00000000005.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
DPM1,ENSG00000000419.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SCYL3,ENSG00000000457.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,/,/,/,/,/
C1orf112,ENSG00000000460.17,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/
FGR,ENSG00000000938.13,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Down,/,/,/,/,Up,/,Down,Up,/,/,/,Up,/
CFH,ENSG00000000971.17,Down,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,Up,/,/,Up,/,/,Up,/,Up,/
FUCA2,ENSG00000001036.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
GCLC,ENSG00000001084.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,Down,Up,/,/,/,/,/,Down,/
NFYA,ENSG00000001167.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
STPG1,ENSG00000001460.18,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,Down,/,/,/,/,/,/,/,/
NIPAL3,ENSG00000001461.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,Down,/
LAS1L,ENSG00000001497.18,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/
ENPP4,ENSG00000001561.7,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,Up,/,/,/,/,Up,Up,/,/,/,/,/,/,/
SEMA3F,ENSG00000001617.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,Down,/,Up,/,/,/,Up,/
CFTR,ENSG00000001626.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ANKIB1,ENSG00000001629.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
CYP51A1,ENSG00000001630.18,/,/,Up,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,Down
KRIT1,ENSG00000001631.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RAD52,ENSG00000002016.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
MYH16,ENSG00000002079.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,/
BAD,ENSG00000002330.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
LAP3,ENSG00000002549.13,/,/,Up,/,/,/,/,/,Up,Up,Up,/,/,Up,/,Up,/,Up,/,Up,Up,Up,Up,/,/,/,/,Up,/
CD99,ENSG00000002586.20,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Down
CD99,ENSG00000002586.20_PAR_Y,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Up,Down
HS3ST1,ENSG00000002587.10,/,/,/,/,/,/,/,/,Down,/,Up,/,/,/,/,Down,/,Down,/,/,Up,Up,Down,/,/,/,/,/,Down
AOC1,ENSG00000002726.21,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,Up,Down
WNT16,ENSG00000002745.13,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
HECW1,ENSG00000002746.15,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,Up,/,Up,/,/,/,/,/,/
MAD1L1,ENSG00000002822.16,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/
LASP1,ENSG00000002834.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,Down,/,/,/,/,/,/,/,/,/,/,/
SNX11,ENSG00000002919.15,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
TMEM176A,ENSG00000002933.9,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,Up,Down,Down,/,/,/,/,/,Down
M6PR,ENSG00000003056.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
KLHL13,ENSG00000003096.15,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/
CYP26B1,ENSG00000003137.9,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,Up,/
ICA1,ENSG00000003147.19,/,/,/,/,/,/,/,/,Down,/,Down,/,/,Down,/,/,/,/,/,/,Down,Down,/,/,/,/,/,/,Up
DBNDD1,ENSG00000003249.15,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Up,/,/,/,/,/,/
ALS2,ENSG00000003393.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Up,/,/,/,/,/,/,/
CASP10,ENSG00000003400.16,/,/,Up,/,/,/,/,/,/,Up,/,/,/,/,/,Up,Up,Up,/,Up,Down,/,Up,/,/,/,/,Up,/
CFLAR,ENSG00000003402.21,/,/,Up,/,/,/,/,Up,Up,Up,Up,/,/,Up,/,Up,Up,Up,/,Up,Up,Up,/,/,/,Up,/,Up,/
TFPI,ENSG00000003436.16,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,Up,/,/,Up,Up,/,/,/,/,/,/,Down
NDUFAF7,ENSG00000003509.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RBM5,ENSG00000003756.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MTMR7,ENSG00000003987.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
SLC7A2,ENSG00000003989.18,/,/,Down,/,/,/,/,/,Up,Up,/,/,/,Up,/,Up,Up,Up,/,/,Up,/,/,/,/,/,/,Up,/
ARF5,ENSG00000004059.11,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down
SARM1,ENSG00000004139.14,/,/,/,/,/,/,/,/,Up,/,/,/,/,Down,/,Down,/,Down,/,/,Down,Down,/,/,/,/,/,Down,/
POLDIP2,ENSG00000004142.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PLXND1,ENSG00000004399.13,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Down,/,/,/,/,/,Down,Down,/,/,/,/,/,/
AK2,ENSG00000004455.18,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,Down,/,/,/,/,/,Down,/
CD38,ENSG00000004468.13,/,/,Up,/,Up,/,/,/,Up,Up,Up,/,/,/,/,Up,Up,Up,/,Up,Up,/,Up,/,/,/,/,Up,Down
FKBP4,ENSG00000004478.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,/
KDM1A,ENSG00000004487.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
RBM6,ENSG00000004534.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CAMKK1,ENSG00000004660.15,/,/,Down,/,/,/,/,/,Down,Down,/,/,/,/,/,Down,Down,Down,/,/,Down,Down,/,/,/,/,/,Down,Up
RECQL,ENSG00000004700.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
VPS50,ENSG00000004766.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/
HSPB6,ENSG00000004776.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/
ARHGAP33,ENSG00000004777.19,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,Down
NDUFAB1,ENSG00000004779.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PDK4,ENSG00000004799.8,Down,/,Down,/,/,/,/,/,/,Down,Down,/,/,Down,/,Down,Down,Down,/,/,Down,Down,Down,Up,/,/,/,Down,Up
SLC22A16,ENSG00000004809.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,Down,Up,/,/,/,/,/,/
ZMYND10,ENSG00000004838.14,/,/,/,/,/,/,/,/,Down,Down,/,/,/,Down,/,Down,/,Down,/,/,Down,Down,/,/,/,/,/,/,/
ABCB5,ENSG00000004846.17,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,Up,Up,Up,/,/,/,Up,/,/,/,/,/,/,/
ARX,ENSG00000004848.8,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SLC25A13,ENSG00000004864.14,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
ST7,ENSG00000004866.22,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/
CDC27,ENSG00000004897.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SLC4A1,ENSG00000004939.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CALCR,ENSG00000004948.16,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,Down,/,/,/,/,/,/,/,/
HCCS,ENSG00000004961.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
DVL2,ENSG00000004975.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Down,Down,/,/,Down,Up,/,/,/,/,/,/,/
PRSS22,ENSG00000005001.10,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,Up,/,Up,/,/,Up,/,/,/,/,/,/,Up,/
UPF1,ENSG00000005007.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/
SKAP2,ENSG00000005020.13,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SLC25A5,ENSG00000005022.6,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,Down,/
MCUB,ENSG00000005059.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
HOXA11,ENSG00000005073.6,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,Up
POLR2J,ENSG00000005075.16,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
DHX33,ENSG00000005100.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,Down,/
MEOX1,ENSG00000005102.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down
THSD7A,ENSG00000005108.17,Down,/,Down,/,Down,/,/,/,Up,/,/,/,/,/,/,/,/,Up,/,/,/,Up,/,/,/,/,/,/,/
LIG3,ENSG00000005156.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
RPAP3,ENSG00000005175.10,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/
ACSM3,ENSG00000005187.12,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,Down
REXO5,ENSG00000005189.20,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Up,/,/,/,/,Down,/,/,/,/,/,/,Down,/
CIAPIN1,ENSG00000005194.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
SPPL2B,ENSG00000005206.17,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,/,/
ATOSB,ENSG00000005238.20,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,Up,Down,/,/,/,/,/,Up,/
COPZ2,ENSG00000005243.10,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/
PRKAR2B,ENSG00000005249.14,/,/,/,/,/,/,Up,/,Up,Up,/,/,/,/,/,/,/,/,/,/,Down,Down,/,/,/,/,/,/,Down
MSL3,ENSG00000005302.19,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,Up,/,/,/,Down,/,/,/,/,/,/,Down
CREBBP,ENSG00000005339.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
TSPOAP1,ENSG00000005379.17,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,Down,/,/,/,Up,Down,/,Down,/,/,/,/,/,Down
MPO,ENSG00000005381.9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,Down,Down,Down,/,/,/,/,Up,Up
PON1,ENSG00000005421.9,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down
GCFC2,ENSG00000005436.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
WDR54,ENSG00000005448.17,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Down,/,/,/,/,/,/,/
CROT,ENSG00000005469.12,/,/,/,/,/,/,/,/,Down,/,/,/,/,Down,/,Down,/,/,/,/,Down,Down,/,/,/,/,/,Down,Down
ABCB4,ENSG00000005471.19,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,Down,/,/,Down,/,/,/,/,/,/,/,Down
KMT2E,ENSG00000005483.23,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,Up,/,/,/,/,/,/,/,/
RHBDD2,ENSG00000005486.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,Up,/,/,/,/,/,Up,Up
SOX8,ENSG00000005513.10,/,/,Up,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
IBTK,ENSG00000005700.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,Up,/,/,/,/,/,/,/
ZNF195,ENSG00000005801.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
MYCBP2,ENSG00000005810.20,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
FBXL3,ENSG00000005812.11,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ITGAL,ENSG00000005844.19,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,Down,Down,/,/,/,/,/,/,Down
PDK2,ENSG00000005882.12,/,/,Down,Down,/,/,/,/,Down,/,Down,/,/,Down,/,Down,/,Down,/,/,Down,Down,/,/,/,/,/,Down,Down
ITGA3,ENSG00000005884.18,Down,/,Up,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,Down,/,/,Down,/,/,/,/,/,/,Up,/
ZFX,ENSG00000005889.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,Up,Up,/,/,Up,Up,/,/,/,/,/,/,/
LAMP2,ENSG00000005893.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ITGA2B,ENSG00000005961.19,/,/,Down,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ASB4,ENSG00000005981.13,Down,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/
GDE1,ENSG00000006007.12,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,Down,Down,/,/,Down,Down,/,/,/,/,/,/,/
REX1BD,ENSG00000006015.18,Down,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,Up,/
CRLF1,ENSG00000006016.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,Up,Down
OSBPL7,ENSG00000006025.12,/,/,/,/,/,/,/,/,Down,Down,Down,/,/,Down,/,Down,/,Down,/,/,Down,Down,/,/,/,/,/,/,/
TMEM98,ENSG00000006042.12,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,Up,/,/,/,/,/,/
YBX2,ENSG00000006047.13,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
KRT33A,ENSG00000006059.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MAP3K14,ENSG00000006062.18,/,/,/,Up,/,/,/,/,Up,/,/,/,/,/,/,Down,/,Down,/,/,Down,Down,/,/,/,/,/,/,Up
ABCC8,ENSG00000006071.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CACNG3,ENSG00000006116.4,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
TMEM132A,ENSG00000006118.15,/,/,Up,/,/,/,/,/,Up,Up,Up,/,/,/,/,/,/,/,/,/,Up,Up,Up,/,/,/,/,Up,/
AP2B1,ENSG00000006125.18,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
TAC1,ENSG00000006128.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/
ZNF263,ENSG00000006194.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CX3CL1,ENSG00000006210.7,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/
SPATA20,ENSG00000006282.21,Down,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
CACNA1G,ENSG00000006283.18,/,/,Down,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,Down,/,/,Up,Up,Down,/,/,/,/,Up,/
TNFRSF12A,ENSG00000006327.14,/,/,Up,/,/,/,/,/,Down,Down,/,/,/,/,/,/,/,Down,/,/,Up,Down,/,Up,/,/,/,Up,Up
DLX6,ENSG00000006377.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
MAP3K9,ENSG00000006432.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
RALA,ENSG00000006451.8,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,Up,Up,/,/,/,/,/,/,/
BAIAP2L1,ENSG00000006453.14,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,Up,/,/,/,Up,/,Up,Up,/,/,/,/,/,/
KDM7A,ENSG00000006459.11,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,Up,Up,/,/,/,/,/,Up,/
ETV1,ENSG00000006468.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Up,/,/,/,/,Down,Down
AGK,ENSG00000006530.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/
ALDH3B1,ENSG00000006534.17,Down,/,Down,/,/,/,/,/,Down,/,Down,/,/,/,/,Down,/,/,/,/,Down,Down,Down,/,/,/,/,Down,/
TTC22,ENSG00000006555.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/
PHTF2,ENSG00000006576.17,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/
CCL26,ENSG00000006606.9,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
FARP2,ENSG00000006607.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
USH1C,ENSG00000006611.17,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/
GGCT,ENSG00000006625.18,/,/,Down,/,/,/,/,/,Down,/,Up,/,/,/,/,/,/,Up,/,/,Down,Up,/,/,/,/,/,Down,/
DBF4,ENSG00000006634.8,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,Down,Down,/,/,/,/,/,Down,/
TBXA2R,ENSG00000006638.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/
IFRD1,ENSG00000006652.15,/,/,Up,/,/,/,/,/,Up,/,/,/,/,Up,/,Up,Up,Up,/,/,Up,/,/,/,/,/,/,/,/
LGALS14,ENSG00000006659.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
COX10,ENSG00000006695.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
GTF2IRD1,ENSG00000006704.11,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,Down,/,/,/,/,Up,/,Up,/,/,/,Up,/
PAF1,ENSG00000006712.15,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/
VPS41,ENSG00000006715.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
ARHGAP44,ENSG00000006740.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Down,/,/,/,/,/,/,/,/,/,Down,/
ELAC2,ENSG00000006744.19,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,Down,/
SCIN,ENSG00000006747.15,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,Down,/,/,Down,Up,Up,Up,/,/,/,/,/
ARSD,ENSG00000006756.16,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PNPLA4,ENSG00000006757.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/
MYH13,ENSG00000006788.14,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,/,/,/,/,Up,/
ADIPOR2,ENSG00000006831.10,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CDKL3,ENSG00000006837.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
UPP2,ENSG00000007001.13,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
PRSS21,ENSG00000007038.11,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,Up,/,/,/,/,/
MARK4,ENSG00000007047.16,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,/,/,/,/,Up,/,/,/,/,/,Up,/
PROM1,ENSG00000007062.12,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CCDC124,ENSG00000007080.11,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
CEACAM21,ENSG00000007129.18,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,/
PAFAH1B1,ENSG00000007168.14,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/
NOS2,ENSG00000007171.19,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Up,/,Up,/,/,/,/,/,/,/,/,/,/,/
DNAH9,ENSG00000007174.18,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,/,Down,/
BLTP2,ENSG00000007202.15,/,/,/,/,/,/,/,/,Down,/,/,/,/,/,/,Down,/,/,/,/,/,Down,/,/,/,/,/,Down,/
