iteration	n_valid	median_rho	prop_gt_0.3	prop_gt_0.4	prop_gt_0.5	prop_gt_0.6	prop_gt_0.7
1	294	0.0363883757736704	0.36734693877551	0.340136054421769	0.224489795918367	0.214285714285714	0.19047619047619
2	302	0.201031036307983	0.433774834437086	0.400662251655629	0.245033112582781	0.235099337748344	0.195364238410596
3	294	0	0.384353741496599	0.346938775510204	0.241496598639456	0.227891156462585	0.204081632653061
4	308	0.0559064540687028	0.392857142857143	0.36038961038961	0.227272727272727	0.217532467532468	0.181818181818182
5	268	0.131365032914896	0.402985074626866	0.369402985074627	0.261194029850746	0.253731343283582	0.212686567164179
6	283	0.0669872981077806	0.402826855123675	0.356890459363958	0.23321554770318	0.222614840989399	0.180212014134276
7	271	0.0357142857142857	0.372693726937269	0.339483394833948	0.25830258302583	0.239852398523985	0.202952029520295
8	319	0.0669872981077806	0.394984326018809	0.373040752351097	0.272727272727273	0.260188087774295	0.210031347962382
9	314	0	0.39171974522293	0.363057324840764	0.232484076433121	0.207006369426752	0.181528662420382
10	278	0.0959430584957905	0.377697841726619	0.330935251798561	0.219424460431655	0.20863309352518	0.179856115107914
11	302	0	0.380794701986755	0.357615894039735	0.251655629139073	0.235099337748344	0.208609271523179
12	298	0.135464477788477	0.422818791946309	0.385906040268456	0.241610738255034	0.231543624161074	0.218120805369128
13	289	0	0.377162629757785	0.346020761245675	0.231833910034602	0.207612456747405	0.176470588235294
14	299	0.0458758547680685	0.377926421404682	0.354515050167224	0.224080267558528	0.217391304347826	0.20066889632107
15	282	0.125	0.411347517730496	0.386524822695035	0.219858156028369	0.195035460992908	0.159574468085106
16	304	0	0.322368421052632	0.296052631578947	0.210526315789474	0.190789473684211	0.171052631578947
17	283	0.129099444873581	0.409893992932862	0.381625441696113	0.250883392226148	0.243816254416961	0.19434628975265
18	296	0.202062072615966	0.439189189189189	0.39527027027027	0.277027027027027	0.27027027027027	0.226351351351351
19	303	0	0.366336633663366	0.34983498349835	0.214521452145215	0.198019801980198	0.178217821782178
20	306	0.134230651593223	0.392156862745098	0.356209150326797	0.225490196078431	0.205882352941176	0.186274509803922
